View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100109202001_Blue_Lane [1]_RackIndex[1]_Date_01_09_2020_ 0530,0,defect,804,471.7786,117.4627,661,107,36
100109202001_Blue_Lane [5]_RackIndex[15]_Date_01_23_2020_ 1614,0,defect,935,477.585,115.216,801,113,21
100109202002_Blue_Lane [1]_RackIndex[2]_Date_01_09_2020_ 0532,0,defect,1328,530.9382,116.0188,1187,92,49
100109202002_Blue_Lane [5]_RackIndex[14]_Date_01_23_2020_ 1612,0,defect,1222,535.9558,114.8265,1101,100,21
100109202003_Blue_Lane [1]_RackIndex[3]_Date_01_09_2020_ 0534,0,defect,1258,474.4626,116.5072,1131,104,23
100109202003_Blue_Lane [5]_RackIndex[11]_Date_01_23_2020_ 1606,0,defect,1330,480.1007,112.6023,1187,124,19
100109202004_Blue_Lane [5]_RackIndex[10]_Date_01_23_2020_ 1604,0,defect,1105,530.0118,113.9647,969,104,32
100109202005_Blue_Lane [1]_RackIndex[5]_Date_01_09_2020_ 0538,0,defect,1346,486.8306,115.8559,1233,107,6
100109202005_Blue_Lane [4]_RackIndex[15]_Date_01_23_2020_ 1582,0,defect,1342,476.2265,114.8361,1147,136,59
100109202006_Blue_Lane [1]_RackIndex[6]_Date_01_09_2020_ 0540,0,defect,952,567.2048,115.5473,831,103,18
100109202006_Blue_Lane [4]_RackIndex[14]_Date_01_23_2020_ 1580,0,defect,1038,562.789,119.2399,868,139,31
100109202007_Blue_Lane [1]_RackIndex[7]_Date_01_09_2020_ 0542,0,defect,1458,503.2901,116.323,1325,86,47
100109202008_Blue_Lane [1]_RackIndex[8]_Date_01_09_2020_ 0544,0,defect,613,557.3703,116.7031,451,84,78
100109202009_Blue_Lane [1]_RackIndex[9]_Date_01_09_2020_ 0546,0,defect,1526,577.9928,116.6127,1430,93,3
100109202009_Blue_Lane [5]_RackIndex[12]_Date_01_23_2020_ 1608,0,defect,1117,578.692,116.547,949,113,55
100109202010_Blue_Lane [1]_RackIndex[10]_Date_01_09_2020_ 0548,0,defect,1202,432.8677,113.8003,1040,126,36
100109202010_Blue_Lane [5]_RackIndex[9]_Date_01_23_2020_ 1602,0,defect,1059,441.2087,112.2361,928,109,22
100109202011_Blue_Lane [1]_RackIndex[11]_Date_01_09_2020_ 0550,0,defect,1416,578.9668,115.9936,1313,97,6
100109202011_Blue_Lane [5]_RackIndex[5]_Date_01_23_2020_ 1594,0,defect,1566,587.1852,118.1603,1448,85,33
100109202012_Blue_Lane [1]_RackIndex[12]_Date_01_09_2020_ 0552,0,defect,1242,538.2923,114.8253,1132,75,35
100109202012_Blue_Lane [5]_RackIndex[1]_Date_01_23_2020_ 1586,0,defect,1384,547.4877,113.7616,1245,93,46
100109202013_Blue_Lane [1]_RackIndex[13]_Date_01_09_2020_ 0554,0,defect,1488,460.7097,114.8058,1381,66,41
